symbol,date,industry_code,balance_sheet_metrics,income_stmt_metrics,cash_flow_metrics
AALI.JK,2024-09-30,1,"{""total_current_assets"": 8305113000000.0, ""total_non_current_assets"": 20803490000000.0, ""total_assets"": 29108603000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 4366554000000.0, ""total_current_liabilities"": 3892292000000.0, ""total_non_current_liabilities"": 2315503000000.0, ""total_liabilities"": 6207795000000.0, ""total_equity"": 22900808000000.0, ""total_debt"": 3194366000000.0, ""stockholders_equity"": 22349041000000.0}","{""total_revenue"": 16286992000000.0, ""cost_of_revenue"": 14281197000000.0, ""gross_income"": 2005795000000.0, ""operating_expenses"": 1059163000000.0, ""operating_income"": 3064958000000.0, ""non_operating_income"": -1924246000000.0, ""pretax_income"": 1140712000000.0, ""income_taxes"": -310451000000.0, ""minorities"": 29110000000.0, ""net_income"": 801151000000.0, ""interest_expense_non_operating"": 212683000000.0, ""ebit"": 1353395000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 1924.687087087087}","{""net_operating_cash_flow"": 4009341000000.0, ""net_investing_cash_flow"": -607891000000.0, ""net_financing_cash_flow"": -1103079000000.0, ""net_increased_decreased"": 2298371000000.0, ""capital_expenditure"": 607891000000.0, ""free_cash_flow"": 4617232000000.0}"
GUNA.JK,2024-09-30,1,"{""total_current_assets"": 491445913575.0, ""total_non_current_assets"": 410025550331.0, ""total_assets"": 901471463906.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 47505147359.0, ""total_current_liabilities"": 212438312366.0, ""total_non_current_liabilities"": 28170803817.0, ""total_liabilities"": 240609116183.0, ""total_equity"": 660862347723.0, ""total_debt"": 18275790539.0, ""stockholders_equity"": 530788174126.0}","{""total_revenue"": 1035971100768.0, ""cost_of_revenue"": 907548938575.0, ""gross_income"": 128422162193.0, ""operating_expenses"": 59058688216.0, ""operating_income"": 187480850409.0, ""non_operating_income"": -123490376428.0, ""pretax_income"": 63990473981.0, ""income_taxes"": -14068830736.0, ""minorities"": 14890972489.0, ""net_income"": 35030670756.0, ""interest_expense_non_operating"": 7612209422.0, ""ebit"": 71602683403.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2154407795.5719557}","{""net_operating_cash_flow"": 12324312497.0, ""net_investing_cash_flow"": -107981329531.0, ""net_financing_cash_flow"": 64024467758.0, ""net_increased_decreased"": -31632549276.0, ""capital_expenditure"": 108824981840.0, ""free_cash_flow"": 121149294337.0}"
MFIN.JK,2024-09-30,4,"{""gross_loan"": null, ""allowance_for_loans"": null, ""net_loan"": null, ""non_loan_asset"": null, ""total_assets"": 6428553000000.0, ""total_earning_assets"": null, ""cash_only"": 48740000000.0, ""total_cash_and_due_from_banks"": 439119000000.0, ""current_account"": null, ""savings_account"": null, ""time_deposits"": null, ""total_deposits"": null, ""other_interest_bearing_liabilities"": null, ""non_interest_bearing_liabilities"": null, ""total_liabilities"": 2682153000000.0, ""total_equity"": 3746400000000.0, ""total_debt"": null, ""stockholders_equity"": 3746400000000.0, ""non_loan_assets"": null}","{""interest_income"": 26687000000.0, ""interest_expenses"": 174067000000.0, ""net_interest_income"": 200754000000.0, ""premium_income"": null, ""premium_expenses"": null, ""net_premium_income"": null, ""non_interest_income"": null, ""total_revenue"": null, ""operating_expenses"": null, ""provision_for_impairment"": 278473000000.0, ""operating_income"": null, ""non_operating_income"": null, ""pretax_income"": 442058000000.0, ""income_taxes"": -92088000000.0, ""minorities"": null, ""net_income"": 349970000000.0, ""diluted_shares_outstanding"": 2651287878.787879}","{""total_high_quality_liquid_asset"": null, ""cash_outflow"": null, ""cash_inflow"": null, ""total_net_cash_outflow"": null, ""net_operating_cash_flow"": -222222000000.0, ""net_investing_cash_flow"": -72409000000.0, ""net_financing_cash_flow"": -624947000000.0, ""net_increased_decreased"": -919578000000.0, ""realized_capital_goods_investment"": null, ""free_cash_flow"": null}"
TFAS.JK,2024-09-30,1,"{""total_current_assets"": 213286606550.0, ""total_non_current_assets"": 35106475496.0, ""total_assets"": 248393082046.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2992383124.0, ""total_current_liabilities"": 70335044543.0, ""total_non_current_liabilities"": 2152191400.0, ""total_liabilities"": 72487235943.0, ""total_equity"": 175905846103.0, ""total_debt"": 47952840450.0, ""stockholders_equity"": 173707106268.0}","{""total_revenue"": 312120463334.0, ""cost_of_revenue"": 304140668071.0, ""gross_income"": 7979795263.0, ""operating_expenses"": 14528675287.0, ""operating_income"": 22508470550.0, ""non_operating_income"": -34726480883.0, ""pretax_income"": -12218010333.0, ""income_taxes"": null, ""minorities"": -75437590.0, ""net_income"": -12142572743.0, ""interest_expense_non_operating"": 5385215647.0, ""ebit"": -6832794686.0, ""ebitda"": null, ""diluted_shares_outstanding"": -1656558355.1159618}","{""net_operating_cash_flow"": -12764032243.0, ""net_investing_cash_flow"": 709069601.0, ""net_financing_cash_flow"": 11404526142.0, ""net_increased_decreased"": -650436500.0, ""capital_expenditure"": 2904700.0, ""free_cash_flow"": -12761127543.0}"
TRON.JK,2024-09-30,1,"{""total_current_assets"": 154282476742.0, ""total_non_current_assets"": 118052144184.0, ""total_assets"": 272334620926.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 22579163961.0, ""total_current_liabilities"": 37760176324.0, ""total_non_current_liabilities"": 15382599838.0, ""total_liabilities"": 53142776162.0, ""total_equity"": 219191844764.0, ""total_debt"": 35491932234.0, ""stockholders_equity"": 219191844764.0}","{""total_revenue"": 117696124353.0, ""cost_of_revenue"": 92163688383.0, ""gross_income"": 25532435970.0, ""operating_expenses"": 14636083209.0, ""operating_income"": 40168519179.0, ""non_operating_income"": -32149450393.0, ""pretax_income"": 8019068786.0, ""income_taxes"": null, ""minorities"": null, ""net_income"": 8019068786.0, ""interest_expense_non_operating"": 2586587992.0, ""ebit"": 10605656778.0, ""ebitda"": null, ""diluted_shares_outstanding"": 2700023160.26936}","{""net_operating_cash_flow"": 316189648.0, ""net_investing_cash_flow"": -28961630342.0, ""net_financing_cash_flow"": 9930392456.0, ""net_increased_decreased"": -18715048238.0, ""capital_expenditure"": 28961630342.0, ""free_cash_flow"": 29277819990.0}"
HEAL.JK,2024-09-30,1,"{""total_current_assets"": 1976694000000.0, ""total_non_current_assets"": 8183407000000.0, ""total_assets"": 10160101000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 671981000000.0, ""total_current_liabilities"": 1620616000000.0, ""total_non_current_liabilities"": 2759684000000.0, ""total_liabilities"": 4380300000000.0, ""total_equity"": 5779801000000.0, ""total_debt"": 3025149000000.0, ""stockholders_equity"": 4381575000000.0}","{""total_revenue"": 5026528000000.0, ""cost_of_revenue"": 3147416000000.0, ""gross_income"": 1879112000000.0, ""operating_expenses"": 1027766000000.0, ""operating_income"": 2906878000000.0, ""non_operating_income"": -2142518000000.0, ""pretax_income"": 764360000000.0, ""income_taxes"": -167010000000.0, ""minorities"": 129190000000.0, ""net_income"": 468160000000.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 14824572514.249525}","{""net_operating_cash_flow"": 874650000000.0, ""net_investing_cash_flow"": -1829437000000.0, ""net_financing_cash_flow"": 771556000000.0, ""net_increased_decreased"": -183231000000.0, ""capital_expenditure"": 1830435000000.0, ""free_cash_flow"": 2705085000000.0}"
GOLD.JK,2024-09-30,2,"{""total_current_assets"": 68064162000.0, ""total_non_current_assets"": 367868710000.0, ""total_assets"": 435932872000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 49458020000.0, ""total_current_liabilities"": 42733956000.0, ""total_non_current_liabilities"": 4396527000.0, ""total_liabilities"": 47130483000.0, ""total_equity"": 388802389000.0, ""total_debt"": 2113346000.0, ""stockholders_equity"": 388801016000.0}","{""total_revenue"": 38527512000.0, ""cost_of_revenue"": 14819512000.0, ""gross_income"": 23708000000.0, ""operating_expenses"": 8290135000.0, ""operating_income"": 31998135000.0, ""non_operating_income"": -18011151000.0, ""pretax_income"": 13986984000.0, ""income_taxes"": -457670000.0, ""minorities"": 46000.0, ""net_income"": 13529314000.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1277551274.7875354}","{""net_operating_cash_flow"": 28257390000.0, ""net_investing_cash_flow"": -26071223000.0, ""net_financing_cash_flow"": -1156000000.0, ""net_increased_decreased"": 1030167000.0, ""capital_expenditure"": 22958334000.0, ""free_cash_flow"": 51215724000.0}"
KBLM.JK,2024-09-30,1,"{""total_current_assets"": 579325948829.0, ""total_non_current_assets"": 1095239550859.0, ""total_assets"": 1674565499688.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 23550420385.0, ""total_current_liabilities"": 339824640923.0, ""total_non_current_liabilities"": 21232677609.0, ""total_liabilities"": 361057318532.0, ""total_equity"": 1313508181156.0, ""total_debt"": null, ""stockholders_equity"": 1313508181156.0}","{""total_revenue"": 1378986150071.0, ""cost_of_revenue"": 1272537635241.0, ""gross_income"": 106448514830.0, ""operating_expenses"": 31786506356.0, ""operating_income"": 138235021186.0, ""non_operating_income"": -63319213007.0, ""pretax_income"": 74915808179.0, ""income_taxes"": -17196730134.0, ""minorities"": null, ""net_income"": 57719078045.0, ""interest_expense_non_operating"": null, ""ebit"": null, ""ebitda"": null, ""diluted_shares_outstanding"": 1109982270.0961537}","{""net_operating_cash_flow"": 46989553942.0, ""net_investing_cash_flow"": -69494143553.0, ""net_financing_cash_flow"": -8997247040.0, ""net_increased_decreased"": -31501836651.0, ""capital_expenditure"": 70384660860.0, ""free_cash_flow"": 117374214802.0}"
NETV.JK,2024-09-30,1,"{""total_current_assets"": 626977616522.0, ""total_non_current_assets"": 466091582915.0, ""total_assets"": 1093069199437.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 27783802417.0, ""total_current_liabilities"": 1399125070636.0, ""total_non_current_liabilities"": 375991421570.0, ""total_liabilities"": 1775116492206.0, ""total_equity"": -682047292769.0, ""total_debt"": 389437788683.0, ""stockholders_equity"": -651071016699.0}","{""total_revenue"": 167421983879.0, ""cost_of_revenue"": 139078392736.0, ""gross_income"": 28343591143.0, ""operating_expenses"": 168272858164.0, ""operating_income"": 196616449307.0, ""non_operating_income"": -152554496634.0, ""pretax_income"": 44061952673.0, ""income_taxes"": 1060409207.0, ""minorities"": 344164163.0, ""net_income"": 44778197717.0, ""interest_expense_non_operating"": 89677900706.0, ""ebit"": 133739853379.0, ""ebitda"": null, ""diluted_shares_outstanding"": 22389098858.5}","{""net_operating_cash_flow"": -79482939642.0, ""net_investing_cash_flow"": 8243935576.0, ""net_financing_cash_flow"": 91713325225.0, ""net_increased_decreased"": 20474321159.0, ""capital_expenditure"": 4749843012.0, ""free_cash_flow"": -74733096630.0}"
INTP.JK,2024-09-30,1,"{""total_current_assets"": 8755694000000.0, ""total_non_current_assets"": 19768203000000.0, ""total_assets"": 28523897000000.0, ""cash_only"": null, ""total_cash_and_due_from_banks"": null, ""cash_and_short_term_investments"": 2703756000000.0, ""total_current_liabilities"": 6137043000000.0, ""total_non_current_liabilities"": 1146900000000.0, ""total_liabilities"": 7283943000000.0, ""total_equity"": 21239954000000.0, ""total_debt"": 2546731000000.0, ""stockholders_equity"": 21239954000000.0}","{""total_revenue"": 13320674000000.0, ""cost_of_revenue"": 9237692000000.0, ""gross_income"": 4082982000000.0, ""operating_expenses"": 2722013000000.0, ""operating_income"": 6804995000000.0, ""non_operating_income"": -5475041000000.0, ""pretax_income"": 1329954000000.0, ""income_taxes"": -274025000000.0, ""minorities"": null, ""net_income"": 1055929000000.0, ""interest_expense_non_operating"": 138670000000.0, ""ebit"": 1468624000000.0, ""ebitda"": null, ""diluted_shares_outstanding"": 3407761569.7411733}","{""net_operating_cash_flow"": 1182705000000.0, ""net_investing_cash_flow"": -327545000000.0, ""net_financing_cash_flow"": -1342282000000.0, ""net_increased_decreased"": -487122000000.0, ""capital_expenditure"": 334230000000.0, ""free_cash_flow"": 1516935000000.0}"
